id,date,branch,staff,amount
1530,2020/1/21,神戸,斎藤,22400
1532,2020/1/14,大阪,加藤,133500
1541,2020/1/19,大阪,武藤,73150
1544,2020/1/1,神戸,権藤,182976
1546,2020/1/8,大阪,加藤,19110
1547,2020/1/2,神戸,権藤,31476
1548,2020/1/20,大阪,兵藤,215800
1549,2020/1/14,大阪,加藤,234136
1550,2020/1/5,神戸,斎藤,42000
1551,2020/1/5,大阪,木藤,44660
1552,2020/1/5,神戸,後藤,155350
1553,2020/1/5,大阪,武藤,146893
1555,2020/1/2,大阪,佐藤,294281
1556,2020/1/6,大阪,佐藤,119301
1557,2020/1/7,神戸,権藤,22784
1558,2020/1/9,大阪,木藤,277500
1559,2020/1/5,大阪,加藤,43960
1560,2020/1/30,大阪,佐藤,1840
1561,2020/1/9,大阪,木藤,141100
1562,2020/1/7,神戸,斎藤,14000
1563,2020/1/7,大阪,木藤,18700
1564,2020/1/8,大阪,兵藤,85200
1565,2020/1/12,神戸,江藤,169280
1566,2020/1/9,大阪,武藤,60240
1567,2020/1/14,大阪,加藤,178845
1568,2020/1/14,大阪,木藤,4000
1569,2020/2/4,大阪,佐藤,844645
1570,2020/1/13,大阪,加藤,1095284
1571,2020/1/12,神戸,斎藤,83300
1572,2020/1/16,大阪,木藤,47700
1573,2020/1/13,大阪,加藤,114000
1574,2020/1/15,大阪,武藤,67800
1575,2020/1/16,神戸,権藤,23790
1576,2020/1/13,神戸,江藤,282600
1577,2020/1/30,大阪,兵藤,25080
1578,2020/1/14,大阪,武藤,103076
1579,2020/2/6,神戸,権藤,73000
1580,2020/2/6,大阪,武藤,84300
1581,2020/2/4,神戸,後藤,93200
1582,2020/1/23,神戸,後藤,176400
1583,2020/1/21,大阪,佐藤,197400
1584,2020/1/23,大阪,加藤,268440
1585,2020/1/19,大阪,木藤,47511
1586,2020/1/23,神戸,権藤,90693
1587,2020/1/19,大阪,武藤,143271
1588,2020/1/21,大阪,武藤,84580
1589,2020/1/21,神戸,斎藤,470550
1590,2020/1/23,神戸,後藤,106450
1591,2020/1/23,大阪,加藤,193838
1592,2020/1/22,大阪,加藤,82755
1593,2020/2/16,大阪,佐藤,21120
1594,2020/1/29,神戸,江藤,458100
1595,2020/1/29,大阪,武藤,97500
1596,2020/1/26,大阪,佐藤,15900
1597,2020/1/26,大阪,兵藤,73500
1598,2020/1/30,大阪,兵藤,381270
1599,2020/1/23,大阪,木藤,111200
1600,2020/2/10,大阪,佐藤,493192
1601,2020/1/29,神戸,斎藤,93150
1602,2020/1/30,神戸,後藤,96782
1603,2020/1/30,大阪,武藤,62900
1604,2020/2/2,神戸,江藤,260300
1605,2020/1/30,大阪,兵藤,298400
1606,2020/2/3,神戸,後藤,62500
1607,2020/2/5,大阪,加藤,296650
1608,2020/2/4,大阪,加藤,222789
1609,2020/2/10,大阪,加藤,66000
1610,2020/2/6,大阪,兵藤,204822
1611,2020/2/3,大阪,木藤,64900
1612,2020/2/2,大阪,武藤,107869
1613,2020/2/4,大阪,加藤,51900
1614,2020/2/17,大阪,佐藤,352340
1615,2020/2/2,大阪,兵藤,58100
1616,2020/2/17,大阪,佐藤,44115
1617,2020/2/9,大阪,佐藤,28200
1618,2020/2/12,大阪,木藤,1638750
1619,2020/2/12,神戸,江藤,109620
1620,2020/2/11,神戸,権藤,9840
1621,2020/2/23,神戸,斎藤,192060
1622,2020/2/9,神戸,江藤,163000
1623,2020/2/13,神戸,江藤,16000
1624,2020/2/10,神戸,後藤,197923
1625,2020/2/9,神戸,江藤,205846
1626,2020/2/9,大阪,佐藤,33680
1627,2020/2/11,神戸,江藤,31000
1628,2020/3/2,大阪,佐藤,70955
1629,2020/2/12,神戸,斎藤,91700
1630,2020/2/19,大阪,武藤,195513
1631,2020/2/12,大阪,佐藤,153900
1632,2020/2/12,大阪,加藤,61130
1633,2020/2/18,神戸,斎藤,150000
1634,2020/2/18,大阪,佐藤,15000
1635,2020/2/20,大阪,佐藤,89264
1636,2020/2/20,大阪,兵藤,3600
1637,2020/2/13,大阪,佐藤,137807
1638,2020/2/18,神戸,権藤,120900
1639,2020/3/1,大阪,武藤,312750
1640,2020/2/16,大阪,兵藤,7000
1641,2020/2/23,大阪,武藤,60500
1642,2020/2/23,神戸,後藤,1138000
1643,2020/2/18,神戸,斎藤,86010
1644,2020/2/19,神戸,斎藤,36893
1645,2020/2/19,大阪,佐藤,209000
1646,2020/2/20,神戸,後藤,550211
1647,2020/2/20,大阪,武藤,275310
1648,2020/2/23,大阪,加藤,637940
1649,2020/2/27,神戸,斎藤,75050
1650,2020/2/25,大阪,加藤,1083524
1651,2020/3/5,大阪,佐藤,3000
1652,2020/2/26,神戸,江藤,12240
1653,2020/3/3,大阪,武藤,3375
1654,2020/2/26,大阪,佐藤,93450
1655,2020/3/2,大阪,武藤,86343
1656,2020/3/3,大阪,加藤,932050
1657,2020/2/27,大阪,加藤,192425
1658,2020/3/5,神戸,後藤,34200
1659,2020/3/2,大阪,佐藤,42750
1660,2020/2/27,神戸,権藤,10850
1661,2020/3/5,大阪,佐藤,66310
1662,2020/3/9,大阪,武藤,67000
1663,2020/3/3,大阪,武藤,45290
1664,2020/3/4,大阪,加藤,85800
1665,2020/3/17,大阪,木藤,620055
1666,2020/3/3,大阪,佐藤,76875
1667,2020/3/1,神戸,権藤,53750
1668,2020/3/1,大阪,木藤,53950
1669,2020/3/8,大阪,武藤,68670
1670,2020/3/10,大阪,佐藤,365890
1671,2020/3/10,大阪,加藤,144750
1672,2020/3/3,大阪,木藤,112280
1673,2020/3/8,大阪,佐藤,39000
1674,2020/3/8,大阪,武藤,193600
1675,2020/3/4,神戸,江藤,74250
1676,2020/3/12,神戸,斎藤,74880
1677,2020/4/7,大阪,加藤,183570
1678,2020/3/12,大阪,加藤,47515
1679,2020/3/10,大阪,佐藤,51440
1680,2020/4/7,大阪,佐藤,80000
1681,2020/3/17,大阪,武藤,13750
1682,2020/3/11,神戸,権藤,117475
1683,2020/3/17,大阪,佐藤,225550
1684,2020/3/18,大阪,佐藤,79920
1685,2020/3/23,大阪,兵藤,178863
1686,2020/3/15,神戸,権藤,92060
1687,2020/3/11,大阪,加藤,50000
1688,2020/3/17,大阪,佐藤,61950
1689,2020/3/17,大阪,加藤,45600
1690,2020/3/12,神戸,斎藤,64480
1691,2020/3/15,大阪,加藤,273187
1692,2020/3/12,大阪,木藤,63750
1693,2020/3/22,大阪,兵藤,36000
1694,2020/3/19,神戸,斎藤,401175
1695,2020/3/17,神戸,後藤,56000
1696,2020/3/18,大阪,佐藤,71100
1697,2020/3/12,神戸,権藤,102533
1698,2020/3/17,大阪,佐藤,24500
1699,2020/3/18,大阪,武藤,140750
1700,2020/3/15,大阪,加藤,22000
1701,2020/3/18,大阪,加藤,236225
1702,2020/3/16,大阪,木藤,442200
1703,2020/3/22,大阪,武藤,11000
1704,2020/4/6,神戸,後藤,45874
1705,2020/3/23,大阪,武藤,47120
1706,2020/3/24,神戸,後藤,444125
1707,2020/3/19,神戸,江藤,165953
1708,2020/3/19,大阪,兵藤,7440
1709,2020/3/19,神戸,権藤,67700
1710,2020/3/26,大阪,兵藤,176270
1711,2020/3/26,神戸,斎藤,78100
1712,2020/3/22,神戸,権藤,13175
1713,2020/4/7,大阪,加藤,26535
1714,2020/3/29,大阪,兵藤,111990
1715,2020/3/22,大阪,兵藤,358400
1716,2020/3/25,神戸,後藤,5780
1717,2020/3/23,大阪,加藤,205250
1718,2020/3/29,神戸,権藤,84800
1719,2020/4/7,大阪,佐藤,109846
1720,2020/4/1,大阪,木藤,91040
1721,2020/3/31,大阪,武藤,140800
1722,2020/3/29,大阪,武藤,10800
1723,2020/4/23,神戸,後藤,22400
1724,2020/4/1,大阪,木藤,173306
1725,2020/3/25,大阪,佐藤,25150
1726,2020/3/26,神戸,権藤,29155
1727,2020/4/2,大阪,加藤,43900
1728,2020/3/26,大阪,武藤,71750
1729,2020/4/2,大阪,武藤,91200
1730,2020/4/9,大阪,兵藤,223300
1731,2020/4/22,神戸,後藤,130319
1732,2020/3/30,大阪,兵藤,481350
1733,2020/4/16,大阪,佐藤,24800
1734,2020/4/1,大阪,武藤,1581000
1735,2020/4/7,大阪,木藤,101400
1736,2020/4/5,大阪,木藤,72090
1737,2020/4/2,大阪,武藤,180975
1738,2020/4/1,大阪,木藤,202338
1739,2020/4/20,大阪,兵藤,222000
